;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 2021. 02. 15. 14:37:36
;----------------------------------------------

;Address Opcode 	ASM
____SysVT:
0x9FC01180	0x0B40024D  J	___GenExcept
0x9FC01374	0x70000000  NOP	
0x9FC01378	0x70000000  NOP	
0x9FC0137C	0x70000000  NOP	
0x9FC01380	0x0B40023D  J	_main
0x9FC01384	0x70000000  NOP	
0x9FC01388	0x70000000  NOP	
0x9FC0138C	0x70000000  NOP	
0x9FC01390	0x70000000  NOP	
0x9FC01394	0x70000000  NOP	
0x9FC01398	0x70000000  NOP	
0x9FC0139C	0x70000000  NOP	
0x9FC013A0	0x0B40023D  J	_main
0x9FC013A4	0x70000000  NOP	
0x9FC013A8	0x70000000  NOP	
0x9FC013AC	0x70000000  NOP	
0x9FC013B0	0x70000000  NOP	
0x9FC013B4	0x70000000  NOP	
0x9FC013B8	0x70000000  NOP	
0x9FC013BC	0x70000000  NOP	
0x9FC013C0	0x0B40023D  J	_main
0x9FC013C4	0x70000000  NOP	
0x9FC013C8	0x70000000  NOP	
0x9FC013CC	0x70000000  NOP	
0x9FC013D0	0x70000000  NOP	
0x9FC013D4	0x70000000  NOP	
0x9FC013D8	0x70000000  NOP	
0x9FC013DC	0x70000000  NOP	
0x9FC013E0	0x0B40023D  J	_main
0x9FC013E4	0x70000000  NOP	
0x9FC013E8	0x70000000  NOP	
0x9FC013EC	0x70000000  NOP	
0x9FC013F0	0x70000000  NOP	
0x9FC013F4	0x70000000  NOP	
0x9FC013F8	0x70000000  NOP	
0x9FC013FC	0x70000000  NOP	
0x9FC01400	0x0B40023D  J	_main
0x9FC01404	0x70000000  NOP	
0x9FC01408	0x70000000  NOP	
0x9FC0140C	0x70000000  NOP	
0x9FC01410	0x70000000  NOP	
0x9FC01414	0x70000000  NOP	
0x9FC01418	0x70000000  NOP	
0x9FC0141C	0x70000000  NOP	
0x9FC01420	0x0B40023D  J	_main
0x9FC01424	0x70000000  NOP	
0x9FC01428	0x70000000  NOP	
0x9FC0142C	0x70000000  NOP	
0x9FC01430	0x70000000  NOP	
0x9FC01434	0x70000000  NOP	
0x9FC01438	0x70000000  NOP	
0x9FC0143C	0x70000000  NOP	
0x9FC01440	0x0B40023D  J	_main
0x9FC01444	0x70000000  NOP	
0x9FC01448	0x70000000  NOP	
0x9FC0144C	0x70000000  NOP	
0x9FC01450	0x70000000  NOP	
0x9FC01454	0x70000000  NOP	
0x9FC01458	0x70000000  NOP	
0x9FC0145C	0x70000000  NOP	
0x9FC01460	0x0B40023D  J	_main
0x9FC01464	0x70000000  NOP	
0x9FC01468	0x70000000  NOP	
0x9FC0146C	0x70000000  NOP	
0x9FC01470	0x70000000  NOP	
0x9FC01474	0x70000000  NOP	
0x9FC01478	0x70000000  NOP	
0x9FC0147C	0x70000000  NOP	
0x9FC01480	0x0B40023D  J	_main
0x9FC01484	0x70000000  NOP	
0x9FC01488	0x70000000  NOP	
0x9FC0148C	0x70000000  NOP	
0x9FC01490	0x70000000  NOP	
0x9FC01494	0x70000000  NOP	
0x9FC01498	0x70000000  NOP	
0x9FC0149C	0x70000000  NOP	
0x9FC014A0	0x0B40023D  J	_main
0x9FC014A4	0x70000000  NOP	
0x9FC014A8	0x70000000  NOP	
0x9FC014AC	0x70000000  NOP	
0x9FC014B0	0x70000000  NOP	
0x9FC014B4	0x70000000  NOP	
0x9FC014B8	0x70000000  NOP	
0x9FC014BC	0x70000000  NOP	
0x9FC014C0	0x0B40023D  J	_main
0x9FC014C4	0x70000000  NOP	
0x9FC014C8	0x70000000  NOP	
0x9FC014CC	0x70000000  NOP	
0x9FC014D0	0x70000000  NOP	
0x9FC014D4	0x70000000  NOP	
0x9FC014D8	0x70000000  NOP	
0x9FC014DC	0x70000000  NOP	
0x9FC014E0	0x0B40023D  J	_main
0x9FC014E4	0x70000000  NOP	
0x9FC014E8	0x70000000  NOP	
0x9FC014EC	0x70000000  NOP	
0x9FC014F0	0x70000000  NOP	
0x9FC014F4	0x70000000  NOP	
0x9FC014F8	0x70000000  NOP	
0x9FC014FC	0x70000000  NOP	
0x9FC01500	0x0B40023D  J	_main
0x9FC01504	0x70000000  NOP	
0x9FC01508	0x70000000  NOP	
0x9FC0150C	0x70000000  NOP	
0x9FC01510	0x70000000  NOP	
0x9FC01514	0x70000000  NOP	
0x9FC01518	0x70000000  NOP	
0x9FC0151C	0x70000000  NOP	
0x9FC01520	0x0B40023D  J	_main
0x9FC01524	0x70000000  NOP	
0x9FC01528	0x70000000  NOP	
0x9FC0152C	0x70000000  NOP	
0x9FC01530	0x70000000  NOP	
0x9FC01534	0x70000000  NOP	
0x9FC01538	0x70000000  NOP	
0x9FC0153C	0x70000000  NOP	
0x9FC01540	0x0B40023D  J	_main
0x9FC01544	0x70000000  NOP	
0x9FC01548	0x70000000  NOP	
0x9FC0154C	0x70000000  NOP	
0x9FC01550	0x70000000  NOP	
0x9FC01554	0x70000000  NOP	
0x9FC01558	0x70000000  NOP	
0x9FC0155C	0x70000000  NOP	
0x9FC01560	0x0B40023D  J	_main
0x9FC01564	0x70000000  NOP	
0x9FC01568	0x70000000  NOP	
0x9FC0156C	0x70000000  NOP	
0x9FC01570	0x70000000  NOP	
0x9FC01574	0x70000000  NOP	
0x9FC01578	0x70000000  NOP	
0x9FC0157C	0x70000000  NOP	
0x9FC01580	0x0B40023D  J	_main
0x9FC01584	0x70000000  NOP	
0x9FC01588	0x70000000  NOP	
0x9FC0158C	0x70000000  NOP	
0x9FC01590	0x70000000  NOP	
0x9FC01594	0x70000000  NOP	
0x9FC01598	0x70000000  NOP	
0x9FC0159C	0x70000000  NOP	
0x9FC015A0	0x0B40023D  J	_main
0x9FC015A4	0x70000000  NOP	
0x9FC015A8	0x70000000  NOP	
0x9FC015AC	0x70000000  NOP	
0x9FC015B0	0x70000000  NOP	
0x9FC015B4	0x70000000  NOP	
0x9FC015B8	0x70000000  NOP	
0x9FC015BC	0x70000000  NOP	
0x9FC015C0	0x0B40023D  J	_main
0x9FC015C4	0x70000000  NOP	
0x9FC015C8	0x70000000  NOP	
0x9FC015CC	0x70000000  NOP	
0x9FC015D0	0x70000000  NOP	
0x9FC015D4	0x70000000  NOP	
0x9FC015D8	0x70000000  NOP	
0x9FC015DC	0x70000000  NOP	
0x9FC015E0	0x0B40023D  J	_main
0x9FC015E4	0x70000000  NOP	
0x9FC015E8	0x70000000  NOP	
0x9FC015EC	0x70000000  NOP	
0x9FC015F0	0x70000000  NOP	
0x9FC015F4	0x70000000  NOP	
0x9FC015F8	0x70000000  NOP	
0x9FC015FC	0x70000000  NOP	
0x9FC01600	0x0B40023D  J	_main
0x9FC01604	0x70000000  NOP	
0x9FC01608	0x70000000  NOP	
0x9FC0160C	0x70000000  NOP	
0x9FC01610	0x70000000  NOP	
0x9FC01614	0x70000000  NOP	
0x9FC01618	0x70000000  NOP	
0x9FC0161C	0x70000000  NOP	
0x9FC01620	0x0B40023D  J	_main
0x9FC01624	0x70000000  NOP	
0x9FC01628	0x70000000  NOP	
0x9FC0162C	0x70000000  NOP	
0x9FC01630	0x70000000  NOP	
0x9FC01634	0x70000000  NOP	
0x9FC01638	0x70000000  NOP	
0x9FC0163C	0x70000000  NOP	
0x9FC01640	0x0B40023D  J	_main
0x9FC01644	0x70000000  NOP	
0x9FC01648	0x70000000  NOP	
0x9FC0164C	0x70000000  NOP	
0x9FC01650	0x70000000  NOP	
0x9FC01654	0x70000000  NOP	
0x9FC01658	0x70000000  NOP	
0x9FC0165C	0x70000000  NOP	
0x9FC01660	0x0B40023D  J	_main
0x9FC01664	0x70000000  NOP	
0x9FC01668	0x70000000  NOP	
0x9FC0166C	0x70000000  NOP	
0x9FC01670	0x70000000  NOP	
0x9FC01674	0x70000000  NOP	
0x9FC01678	0x70000000  NOP	
0x9FC0167C	0x70000000  NOP	
0x9FC01680	0x0B40023D  J	_main
0x9FC01684	0x70000000  NOP	
0x9FC01688	0x70000000  NOP	
0x9FC0168C	0x70000000  NOP	
0x9FC01690	0x70000000  NOP	
0x9FC01694	0x70000000  NOP	
0x9FC01698	0x70000000  NOP	
0x9FC0169C	0x70000000  NOP	
0x9FC016A0	0x0B40023D  J	_main
0x9FC016A4	0x70000000  NOP	
0x9FC016A8	0x70000000  NOP	
0x9FC016AC	0x70000000  NOP	
0x9FC016B0	0x70000000  NOP	
0x9FC016B4	0x70000000  NOP	
0x9FC016B8	0x70000000  NOP	
0x9FC016BC	0x70000000  NOP	
0x9FC016C0	0x0B40023D  J	_main
0x9FC016C4	0x70000000  NOP	
0x9FC016C8	0x70000000  NOP	
0x9FC016CC	0x70000000  NOP	
0x9FC016D0	0x70000000  NOP	
0x9FC016D4	0x70000000  NOP	
0x9FC016D8	0x70000000  NOP	
0x9FC016DC	0x70000000  NOP	
0x9FC016E0	0x0B40023D  J	_main
0x9FC016E4	0x70000000  NOP	
0x9FC016E8	0x70000000  NOP	
0x9FC016EC	0x70000000  NOP	
0x9FC016F0	0x70000000  NOP	
0x9FC016F4	0x70000000  NOP	
0x9FC016F8	0x70000000  NOP	
0x9FC016FC	0x70000000  NOP	
0x9FC01700	0x0B40023D  J	_main
0x9FC01704	0x70000000  NOP	
0x9FC01708	0x70000000  NOP	
0x9FC0170C	0x70000000  NOP	
0x9FC01710	0x70000000  NOP	
0x9FC01714	0x70000000  NOP	
0x9FC01718	0x70000000  NOP	
0x9FC0171C	0x70000000  NOP	
0x9FC01720	0x0B40023D  J	_main
0x9FC01724	0x70000000  NOP	
0x9FC01728	0x70000000  NOP	
0x9FC0172C	0x70000000  NOP	
0x9FC01730	0x70000000  NOP	
0x9FC01734	0x70000000  NOP	
0x9FC01738	0x70000000  NOP	
0x9FC0173C	0x70000000  NOP	
0x9FC01740	0x0B40023D  J	_main
0x9FC01744	0x70000000  NOP	
0x9FC01748	0x70000000  NOP	
0x9FC0174C	0x70000000  NOP	
0x9FC01750	0x70000000  NOP	
0x9FC01754	0x70000000  NOP	
0x9FC01758	0x70000000  NOP	
0x9FC0175C	0x70000000  NOP	
0x9FC01760	0x0B40023D  J	_main
0x9FC01764	0x70000000  NOP	
0x9FC01768	0x70000000  NOP	
0x9FC0176C	0x70000000  NOP	
0x9FC01770	0x70000000  NOP	
0x9FC01774	0x70000000  NOP	
0x9FC01778	0x70000000  NOP	
0x9FC0177C	0x70000000  NOP	
0x9FC01780	0x0B40023D  J	_main
0x9FC01784	0x70000000  NOP	
0x9FC01788	0x70000000  NOP	
0x9FC0178C	0x70000000  NOP	
0x9FC01790	0x70000000  NOP	
0x9FC01794	0x70000000  NOP	
0x9FC01798	0x70000000  NOP	
0x9FC0179C	0x70000000  NOP	
0x9FC017A0	0x0B40023D  J	_main
0x9FC017A4	0x70000000  NOP	
0x9FC017A8	0x70000000  NOP	
0x9FC017AC	0x70000000  NOP	
0x9FC017B0	0x70000000  NOP	
0x9FC017B4	0x70000000  NOP	
0x9FC017B8	0x70000000  NOP	
0x9FC017BC	0x70000000  NOP	
0x9FC017C0	0x0B40023D  J	_main
0x9FC017C4	0x70000000  NOP	
0x9FC017C8	0x70000000  NOP	
0x9FC017CC	0x70000000  NOP	
0x9FC017D0	0x70000000  NOP	
0x9FC017D4	0x70000000  NOP	
0x9FC017D8	0x70000000  NOP	
0x9FC017DC	0x70000000  NOP	
0x9FC017E0	0x0B40023D  J	_main
0x9FC017E4	0x70000000  NOP	
0x9FC017E8	0x70000000  NOP	
0x9FC017EC	0x70000000  NOP	
0x9FC017F0	0x70000000  NOP	
0x9FC017F4	0x70000000  NOP	
0x9FC017F8	0x70000000  NOP	
0x9FC017FC	0x70000000  NOP	
0x9FC01800	0x0B40023D  J	_main
0x9FC01804	0x70000000  NOP	
0x9FC01808	0x70000000  NOP	
0x9FC0180C	0x70000000  NOP	
0x9FC01810	0x70000000  NOP	
0x9FC01814	0x70000000  NOP	
0x9FC01818	0x70000000  NOP	
0x9FC0181C	0x70000000  NOP	
0x9FC01820	0x0B40023D  J	_main
0x9FC01824	0x70000000  NOP	
0x9FC01828	0x70000000  NOP	
0x9FC0182C	0x70000000  NOP	
0x9FC01830	0x70000000  NOP	
0x9FC01834	0x70000000  NOP	
0x9FC01838	0x70000000  NOP	
0x9FC0183C	0x70000000  NOP	
0x9FC01840	0x0B40023D  J	_main
0x9FC01844	0x70000000  NOP	
0x9FC01848	0x70000000  NOP	
0x9FC0184C	0x70000000  NOP	
0x9FC01850	0x70000000  NOP	
0x9FC01854	0x70000000  NOP	
0x9FC01858	0x70000000  NOP	
0x9FC0185C	0x70000000  NOP	
0x9FC01860	0x0B40023D  J	_main
0x9FC01864	0x70000000  NOP	
; end of ____SysVT
____BootVT:
0xBFC00380	0x3C1E9D00  LUI	R30, 40192
0xBFC00384	0x37DE091C  ORI	R30, R30, 2332
0xBFC00388	0x03C00008  JR	R30
0xBFC0038C	0x70000000  NOP	
; end of ____BootVT
_main:
;djsync.mpas, 219 :: 		begin                          // Main loop
0x9D0008F4	0x0F400256  JAL	2634025304
0x9D0008F8	0x70000000  NOP	
;djsync.mpas, 220 :: 		Init;                        // Call Init procedure
0x9D0008FC	0x0F40017A  JAL	_Init+0
0x9D000900	0x70000000  NOP	
;djsync.mpas, 221 :: 		while true do
L__main38:
;djsync.mpas, 223 :: 		LEDCHAR4(1);
0x9D000904	0x0F4000FB  JAL	_LEDCHAR4+0
0x9D000908	0x34190001  ORI	R25, R0, 1
;djsync.mpas, 224 :: 		end;
0x9D00090C	0x0B400241  J	L__main38
0x9D000910	0x70000000  NOP	
;djsync.mpas, 225 :: 		end.
L_end_main:
L__main_end_loop:
0x9D000914	0x0B400245  J	L__main_end_loop
0x9D000918	0x70000000  NOP	
; end of _main
___FillZeros:
;__Lib_System.mpas, 194 :: 		
0x9D000770	0x27BDFFFC  ADDIU	SP, SP, -4
;__Lib_System.mpas, 196 :: 		
L___FillZeros0:
;__Lib_System.mpas, 197 :: 		
0x9D000774	0x12F60004  BEQ	R23, R22, L___FillZeros1
;__Lib_System.mpas, 198 :: 		
0x9D000778	0x70000000  NOP	
;__Lib_System.mpas, 199 :: 		
L____FillZeros4:
;__Lib_System.mpas, 200 :: 		
0x9D00077C	0xAEE00000  SW	R0, 0(R23)
;__Lib_System.mpas, 201 :: 		
0x9D000780	0x0B4001DD  J	L___FillZeros0
;__Lib_System.mpas, 202 :: 		
0x9D000784	0x26F70004  ADDIU	R23, R23, 4
;__Lib_System.mpas, 203 :: 		
L___FillZeros1:
;__Lib_System.mpas, 205 :: 		
L_end___FillZeros:
0x9D000788	0x03E00008  JR	RA
0x9D00078C	0x27BD0004  ADDIU	SP, SP, 4
; end of ___FillZeros
_Init:
;djsync.mpas, 182 :: 		begin
0x9D0005E8	0x27BDFFE8  ADDIU	SP, SP, -24
0x9D0005EC	0xAFBF0000  SW	RA, 0(SP)
;djsync.mpas, 184 :: 		UART1_Init(57600);
0x9D0005F0	0xAFB90004  SW	R25, 4(SP)
0x9D0005F4	0x0F40008B  JAL	_UART1_Init+0
0x9D0005F8	0x3419E100  ORI	R25, R0, 57600
;djsync.mpas, 185 :: 		UART1_Write_Text('Debug mode ON');
0x9D0005FC	0x27A30008  ADDIU	R3, SP, 8
0x9D000600	0x34020044  ORI	R2, R0, 68
0x9D000604	0xA0620000  SB	R2, 0(R3)
0x9D000608	0x34020065  ORI	R2, R0, 101
0x9D00060C	0xA0620001  SB	R2, 1(R3)
0x9D000610	0x34020062  ORI	R2, R0, 98
0x9D000614	0xA0620002  SB	R2, 2(R3)
0x9D000618	0x34020075  ORI	R2, R0, 117
0x9D00061C	0xA0620003  SB	R2, 3(R3)
0x9D000620	0x34020067  ORI	R2, R0, 103
0x9D000624	0xA0620004  SB	R2, 4(R3)
0x9D000628	0x34020020  ORI	R2, R0, 32
0x9D00062C	0xA0620005  SB	R2, 5(R3)
0x9D000630	0x3402006D  ORI	R2, R0, 109
0x9D000634	0xA0620006  SB	R2, 6(R3)
0x9D000638	0x3402006F  ORI	R2, R0, 111
0x9D00063C	0xA0620007  SB	R2, 7(R3)
0x9D000640	0x34020064  ORI	R2, R0, 100
0x9D000644	0xA0620008  SB	R2, 8(R3)
0x9D000648	0x34020065  ORI	R2, R0, 101
0x9D00064C	0xA0620009  SB	R2, 9(R3)
0x9D000650	0x34020020  ORI	R2, R0, 32
0x9D000654	0xA062000A  SB	R2, 10(R3)
0x9D000658	0x3402004F  ORI	R2, R0, 79
0x9D00065C	0xA062000B  SB	R2, 11(R3)
0x9D000660	0x3402004E  ORI	R2, R0, 78
0x9D000664	0xA062000C  SB	R2, 12(R3)
0x9D000668	0xA060000D  SB	R0, 13(R3)
0x9D00066C	0x27A20008  ADDIU	R2, SP, 8
0x9D000670	0x0F4000C8  JAL	_UART1_Write_Text+0
0x9D000674	0x0040C80A  MOVZ	R25, R2, R0
;djsync.mpas, 186 :: 		UART1_Write(13);
0x9D000678	0x0F400025  JAL	_UART1_Write+0
0x9D00067C	0x3419000D  ORI	R25, R0, 13
;djsync.mpas, 188 :: 		DisableInterrupts;
0x9D000680	0x417E6000  DI	R30
;djsync.mpas, 189 :: 		Time := 0;
0x9D000684	0xA4208008  SH	R0, Offset(_Time+0)(GP)
;djsync.mpas, 190 :: 		AD1PCFG := 0xFFFF;         // All pins are digital
0x9D000688	0x3402FFFF  ORI	R2, R0, 65535
0x9D00068C	0x3C1EBF81  LUI	R30, 49025
0x9D000690	0xAFC29060  SW	R2, -28576(R30)
;djsync.mpas, 191 :: 		TRISB15_bit := 1;          // RB15 input
0x9D000694	0x34020080  ORI	R2, R0, 0x0080
0x9D000698	0x3C1EBF88  LUI	R30, 49032
0x9D00069C	0xA3C26049  SB	R2, 24649(R30)
;djsync.mpas, 193 :: 		TRISF4_bit := 0;
0x9D0006A0	0x34020010  ORI	R2, R0, 0x0010
0x9D0006A4	0x3C1EBF88  LUI	R30, 49032
0x9D0006A8	0xA3C26144  SB	R2, 24900(R30)
;djsync.mpas, 194 :: 		TRISF5_bit := 0;
0x9D0006AC	0x34020020  ORI	R2, R0, 0x0020
0x9D0006B0	0x3C1EBF88  LUI	R30, 49032
0x9D0006B4	0xA3C26144  SB	R2, 24900(R30)
;djsync.mpas, 195 :: 		TRISG8_bit := 0;
0x9D0006B8	0x34020001  ORI	R2, R0, 0x0001
0x9D0006BC	0x3C1EBF88  LUI	R30, 49032
0x9D0006C0	0xA3C26185  SB	R2, 24965(R30)
;djsync.mpas, 196 :: 		TRISG7_bit := 0;
0x9D0006C4	0x34020080  ORI	R2, R0, 0x0080
0x9D0006C8	0x3C1EBF88  LUI	R30, 49032
0x9D0006CC	0xA3C26184  SB	R2, 24964(R30)
;djsync.mpas, 197 :: 		TRISG6_bit := 0;
0x9D0006D0	0x34020040  ORI	R2, R0, 0x0040
0x9D0006D4	0x3C1EBF88  LUI	R30, 49032
0x9D0006D8	0xA3C26184  SB	R2, 24964(R30)
;djsync.mpas, 199 :: 		TRISE := 0;                // PORTE to be outputs
0x9D0006DC	0x3C1EBF88  LUI	R30, 49032
0x9D0006E0	0xAFC06100  SW	R0, 24832(R30)
;djsync.mpas, 200 :: 		LATE := 0;                 // PORTE set off
0x9D0006E4	0x3C1EBF88  LUI	R30, 49032
0x9D0006E8	0xAFC06120  SW	R0, 24864(R30)
;djsync.mpas, 201 :: 		MVEC_bit := 1;
0x9D0006EC	0x34020010  ORI	R2, R0, 0x0010
0x9D0006F0	0x3C1EBF88  LUI	R30, 49032
;djsync.mpas, 202 :: 		InitTimer1;                // Init. Timer1 ISR - Read UI / 1kHz
0x9D0006F4	0x0F400030  JAL	_InitTimer1+0
0x9D0006F8	0xA3C21009  SB	R2, 4105(R30)
;djsync.mpas, 203 :: 		InitTimer2;                // Init. Timer2 ISR - Refresh UI / 100Hz
0x9D0006FC	0x0F400072  JAL	_InitTimer2+0
0x9D000700	0x70000000  NOP	
;djsync.mpas, 205 :: 		dummy := PORTD;
0x9D000704	0x3C1EBF88  LUI	R30, 49032
0x9D000708	0x8FC260D0  LW	R2, 24784(R30)
0x9D00070C	0xA4228006  SH	R2, Offset(_dummy+0)(GP)
;djsync.mpas, 206 :: 		CNIF_bit := 0;
0x9D000710	0x34020001  ORI	R2, R0, 0x0001
0x9D000714	0x3C1EBF88  LUI	R30, 49032
0x9D000718	0xA3C21044  SB	R2, 4164(R30)
;djsync.mpas, 207 :: 		EnableInterrupts;
0x9D00071C	0x417E6020  EI	R30
;djsync.mpas, 208 :: 		SEG1 := 1;
0x9D000720	0x34020010  ORI	R2, R0, 0x0010
0x9D000724	0x3C1EBF88  LUI	R30, 49032
0x9D000728	0xA3C26168  SB	R2, 24936(R30)
;djsync.mpas, 209 :: 		SEG2 := 1;
0x9D00072C	0x34020020  ORI	R2, R0, 0x0020
0x9D000730	0x3C1EBF88  LUI	R30, 49032
0x9D000734	0xA3C26168  SB	R2, 24936(R30)
;djsync.mpas, 210 :: 		SEG3 := 1;
0x9D000738	0x34020001  ORI	R2, R0, 0x0001
0x9D00073C	0x3C1EBF88  LUI	R30, 49032
0x9D000740	0xA3C261A9  SB	R2, 25001(R30)
;djsync.mpas, 211 :: 		SEG4 := 1;
0x9D000744	0x34020080  ORI	R2, R0, 0x0080
0x9D000748	0x3C1EBF88  LUI	R30, 49032
0x9D00074C	0xA3C261A8  SB	R2, 25000(R30)
;djsync.mpas, 213 :: 		Timer1_Counter := 0;
0x9D000750	0xA420800A  SH	R0, Offset(_Timer1_Counter+0)(GP)
;djsync.mpas, 214 :: 		Segment_Counter := 0;
0x9D000754	0xA0208004  SB	R0, Offset(_Segment_Counter+0)(GP)
;djsync.mpas, 216 :: 		srand(30000);
0x9D000758	0x0F40006B  JAL	_srand+0
0x9D00075C	0x34197530  ORI	R25, R0, 30000
;djsync.mpas, 217 :: 		end;
L_end_Init:
0x9D000760	0x8FB90004  LW	R25, 4(SP)
0x9D000764	0x8FBF0000  LW	RA, 0(SP)
0x9D000768	0x03E00008  JR	RA
0x9D00076C	0x27BD0018  ADDIU	SP, SP, 24
; end of _Init
_UART1_Init:
;__Lib_UART_123456.mpas, 117 :: 		
0x9D00022C	0x27BDFFEC  ADDIU	SP, SP, -20
0x9D000230	0xAFBF0000  SW	RA, 0(SP)
;__Lib_UART_123456.mpas, 118 :: 		
0x9D000234	0xAFB90004  SW	R25, 4(SP)
0x9D000238	0xAFBA0008  SW	R26, 8(SP)
0x9D00023C	0xAFBB000C  SW	R27, 12(SP)
0x9D000240	0x3C029D00  LUI	R2, hi_addr(_UART1_Write+0)
0x9D000244	0x34420094  ORI	R2, R2, lo_addr(_UART1_Write+0)
0x9D000248	0xAC228018  SW	R2, Offset(_UART_Wr_Ptr+0)(GP)
